ID,Country,City,Location,Width,Length
8630330696303481982,NL,Emmeloord,Europe/Amsterdam,52.71083,5.74861
863033069630348024,RU,Tavda,Asia/Yekaterinburg,58.04254,65.27258
863033069630348503,UA,Lutsk,Europe/Kyiv,50.75932,25.34244
8630330696303481750,SE,Hudiksvall,Europe/Stockholm,61.72744,17.10558
863033069630348081,ET,Arba Minch,Africa/Addis_Ababa,6.03333,37.55
8630330696303481081,AR,Esperanza,America/Argentina/Cordoba,-31.4488,-60.93173
863033069630348867,CD,Yangambi,Africa/Lubumbashi,0.76755,24.43973
3590433799317662477,GE,Kobuleti,Asia/Tbilisi,41.82143,41.77921
863033069630348115,TZ,Usagara,Africa/Dar_es_Salaam,-2.68333,33.0
359043379931766064,BD,Manikchari,Asia/Dhaka,22.83957,91.84128
8630330696303481958,IN,Teghra,Asia/Kolkata,25.49043,85.94001
863033069630348826,US,Lompoc,America/Los_Angeles,34.63915,-120.45794
359043379931766429,GB,Poulton-le-Fylde,Europe/London,53.83333,-2.98333
3590433799317662493,BR,Loanda,America/Sao_Paulo,-22.92306,-53.13722
863033069630348495,BE,Denderleeuw,Europe/Brussels,50.88506,4.07601
3590433799317662493,DE,Bad Segeberg,Europe/Berlin,53.94313,10.30215
3590433799317662378,US,Covington,America/New_York,39.08367,-84.50855
8630330696303481552,MN,Ulan Bator,Asia/Ulaanbaatar,47.90771,106.88324
3590433799317661420,SK,Skalica,Europe/Bratislava,48.8449,17.22635
3590433799317662261,CI,Lakota,Africa/Abidjan,5.84752,-5.682
359043379931766320,NG,Yenagoa,Africa/Lagos,4.92675,6.26764
3590433799317662220,PH,Maasin,Asia/Manila,10.13361,124.84472
8630330696303481206,US,Mira Mesa,America/Los_Angeles,32.9156,-117.14392
8630330696303482345,CO,Buenaventura,America/Bogota,3.8801,-77.03116
8630330696303482485,GB,Westbury,Europe/London,51.26,-2.1875
8630330696303482048,IN,Talipparamba,Asia/Kolkata,12.04161,75.35927
8630330696303481818,US,Newburgh,America/New_York,41.50343,-74.01042
359043379931766247,RU,Lesosibirsk,Asia/Krasnoyarsk,58.23583,92.48278
3590433799317661636,GB,Brierley Hill,Europe/London,52.48173,-2.12139
863033069630348669,US,Martinsburg,America/New_York,39.45621,-77.96389
863033069630348792,US,Deltona,America/New_York,28.90054,-81.26367
8630330696303481347,ID,Tebingtinggi,Asia/Jakarta,3.3285,99.1625
863033069630348941,MA,Oulmes,Africa/Casablanca,33.42585,-6.00137
863033069630348461,PE,Iquitos,America/Lima,-3.74912,-73.25383
863033069630348016,PK,Naushahra Virkan,Asia/Karachi,31.96258,73.97117
8630330696303482428,CZ,Telč,Europe/Prague,49.183239,15.454273
863033069630348735,IT,Roseto degli Abruzzi,Europe/Rome,42.67164,14.01481
8630330696303481990,IN,Kheda,Asia/Kolkata,22.75218,72.68533
863033069630348271,IN,Bachhraon,Asia/Kolkata,28.92694,78.23456
8630330696303481263,RU,Bogoroditsk,Europe/Moscow,53.77166,38.12408
863033069630348776,JP,Namerikawa,Asia/Tokyo,36.75965,137.36215
359043379931766387,PK,Bhit Shah,Asia/Karachi,25.80565,68.49143
863033069630348545,CN,Hengshui,Asia/Shanghai,37.73222,115.70111
359043379931766510,IT,Chiavari,Europe/Rome,44.31771,9.32241
8630330696303481057,ID,Muncar,Asia/Jakarta,-8.43333,114.33333
3590433799317662188,VE,Ciudad Guayana,America/Caracas,8.35122,-62.64102
863033069630348982,RU,Danilov,Europe/Moscow,58.1908,40.17171
8630330696303481636,ME,Budva,Europe/Podgorica,42.28639,18.84
359043379931766197,FR,Colomiers,Europe/Paris,43.61058,1.33467
359043379931766007,IT,Malnate,Europe/Rome,45.79377,8.88104
